ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
202	-0.00348483	-0.00541032	0.00384186	-0.0161763	0.0317093	-0.0184011	0.010851	0.00363792	-0.0206165	-0.0181794
203	-0.0167724	-0.00256893	0.0184382	-0.0271852	0.00836036	0.0462485	-0.022634	-0.00901322	-0.00830123	-0.00251052
204	-0.00172817	0.0190046	0.014725	-0.0287746	0.0357028	0.00350829	0.0556189	0.0364036	-0.0158071	-0.019537
205	-0.0182722	0.0420755	-0.00526953	0.0490589	-0.0319528	-0.0271639	0.000804374	0.0285752	-0.0104579	0.0448139
206	0.0974618	-0.0547934	0.124279	-0.0306322	0.00559061	-0.0170409	0.00165507	-0.108088	-0.149982	0.025482
207	-0.0141204	0.0478148	0.0206197	-0.0469007	-0.0328408	-0.0466943	-0.0301365	-0.0444268	0.0330187	-0.0186433
208	-0.031578	-0.0197284	-0.00340305	-0.00142236	-0.00981177	0.0172052	-0.000872412	0.0158123	0.0461685	0.0147382
209	-0.00934094	-0.0143867	-0.00290899	-0.00627182	-0.00845614	-0.0837701	-0.000716663	0.0263597	-0.0298489	-0.00652979
210	-0.00818501	-0.0372323	0.0260115	0.0269436	0.0211529	0.0263913	0.0426887	0.0136996	-0.0156217	-0.00840946
211	0.00107152	0.0121525	-0.0331891	0.0203082	0.00221964	-0.0118233	-0.0462295	0.00426319	-0.0182421	-0.0183787
212	-0.0126821	-0.0334737	-0.0267843	-0.00994544	0.0455091	-0.0206673	0.0181735	-0.011845	0.0461896	-0.0190927
213	0.339429	-0.0128652	-0.140493	-0.131482	0.180533	-0.0749032	-0.169128	-0.0363173	0.109079	0.204968
214	0.0116668	0.0244533	-0.0231807	-0.0430901	-0.0404041	0.0651459	-0.142338	0.0146525	0.0397504	-0.0868959
216	-0.00279292	-0.0212074	-0.0290278	-0.041448	-0.0240376	-0.0458367	0.00719515	-0.00438643	9.23E-05	0.0308791
218	-0.0342766	-0.021323	-0.024834	0.0561837	0.0293294	-0.021779	0.0286573	-0.0093939	-0.0170684	0.0385104
219	-0.0109713	-0.028786	0.0168578	-0.0461528	0.03766	-0.0163217	-0.000322538	-0.00426589	0.00308154	0.0410197
220	-0.0130477	-0.0184309	0.015611	-0.0495724	-0.0134883	0.0392092	0.0136547	-0.0575911	-0.0262994	-0.027746
221	-0.036518	0.0606888	0.00420451	0.0253564	0.00137563	-0.0288316	0.0157623	-0.0135706	0.0587347	-0.0241449
222	-0.0150461	-0.0256878	0.010613	-0.00842335	-0.00524171	0.0309906	0.0129431	-0.00134929	-0.0181622	0.022446
