"cyto" "RNA" "cytokine"
"X226" 1.43538764628541 1.21335184989311 "GRO.alpha"
"X227" -0.377274369329709 0.123989140785213 "GRO.alpha"
"X228" -0.20391314765193 -0.180684455442701 "GRO.alpha"
"X229" 0.0631533050833325 0.514120469998694 "GRO.alpha"
"X230" -1.49013321042547 -1.17475726943181 "GRO.alpha"
"X231" 0.290057614258444 0.272369406902451 "GRO.alpha"
"X232" -1.28743471426852 -0.0595106104793263 "GRO.alpha"
"X233" -0.459357161858363 0.178629828974758 "GRO.alpha"
"X234" 0.381000806953979 0.152605719136146 "GRO.alpha"
"X235" 0.70038589456359 0.0945000787255914 "GRO.alpha"
"X236" -0.254086195736065 0.0158030552262403 "GRO.alpha"
"X237" 0.469706549769871 0.0858459395193831 "GRO.alpha"
"X238" -0.172375700337146 0.0523636617300129 "GRO.alpha"
"X239" 0.892434951352691 0.0294087734665585 "GRO.alpha"
"X240" -0.297420350370403 0.517279269429089 "GRO.alpha"
"X241" 0.771811029877203 -0.107264593213108 "GRO.alpha"
"X242" -0.194918456491107 0.27420559526498 "GRO.alpha"
"X243" 0.796886213591492 -0.272766965431345 "GRO.alpha"
"X244" -1.84265626306456 -0.474630465958112 "GRO.alpha"
"X245" 1.02567396858393 -0.350507068167637 "GRO.alpha"
"X246" 0.220192131708165 -0.229927668288545 "GRO.alpha"
"X247" -0.0966488328819096 0.743467948735761 "GRO.alpha"
"X248" 0.958298958416462 0.742385018559622 "GRO.alpha"
"X249" -1.20057861550451 0.19971131542554 "GRO.alpha"
"X250" -0.0433383350429238 0.290979662608706 "GRO.alpha"
"X251" -0.834661373438909 0.782460126346843 "GRO.alpha"
"X252" -0.840918183175789 0.433653735646832 "GRO.alpha"
"X253" 0.540492371393668 -0.198318523366119 "GRO.alpha"
"X254" 1.17693747948909 0.422254998843681 "GRO.alpha"
"X255" 0.201089441356283 0.345041461850756 "GRO.alpha"
"X256" 0.323046172933485 0.187212072879591 "GRO.alpha"
"X257" 0.91767198760672 0.123072551600474 "GRO.alpha"
"X258" -0.0765427448743838 0.169849248050941 "GRO.alpha"
"X259" 1.09946062513448 -0.133065940591696 "GRO.alpha"
"X260" 1.32450771826282 -0.100756195861819 "GRO.alpha"
"X261" -0.767845033009631 0.145677458198762 "GRO.alpha"
"X262" 1.47073134486341 0.929246262757875 "GRO.alpha"
"X263" 0.548781955753697 -0.410850174238521 "GRO.alpha"
"X264" -0.259161748321821 0.364575032190019 "GRO.alpha"
"X265" 1.69780204263591 -0.0216047123356987 "GRO.alpha"
"X266" -1.16862615972953 -0.0266474232208492 "GRO.alpha"
"X267" 0.676610005527417 0.405537105980538 "GRO.alpha"
"X268" 0.677502316570769 0.349155943105399 "GRO.alpha"
"X269" 0.0223542448836875 -0.0782297502127957 "GRO.alpha"
"X270" 0.429346151159743 -0.636032864087592 "GRO.alpha"
"X271" NA 0.118839150302179 "GRO.alpha"
"X272" 0.721318114283947 0.0416484344620291 "GRO.alpha"
"X273" -1.21511108355829 0.126233679856468 "GRO.alpha"
"X274" -0.808793897251263 -0.211937669929591 "GRO.alpha"
"X275" -0.2428386359682 -0.921050494665547 "GRO.alpha"
"X276" -0.339667382425545 -0.21209152110313 "GRO.alpha"
"X277" -0.050472608926372 -0.040768851056142 "GRO.alpha"
"X278" 2.34509473895973 0.214286038832661 "GRO.alpha"
"X279" 0.55570620855615 0.263019608483511 "GRO.alpha"
"X280" 1.76476629833786 -0.15493089371384 "GRO.alpha"
"X281" -0.427364520260072 -0.611133836809704 "GRO.alpha"
"X282" 0.170481382254936 -0.978601325538756 "GRO.alpha"
"X283" 0.997603892032647 0.234171897898511 "GRO.alpha"
"X284" -0.446433960765883 -0.583300481708763 "GRO.alpha"
"X285" -0.904091834950974 0.048527663910195 "GRO.alpha"
"X286" -0.625484631510345 -0.142140604021106 "GRO.alpha"
"X287" -0.547404736980065 -0.127622999336907 "GRO.alpha"
"X289" 0.476214441756729 -0.144128882822507 "GRO.alpha"
"X290" -0.267837216101348 -0.310129060789546 "GRO.alpha"
"X291" 0.180152959892969 -0.342196272592922 "GRO.alpha"
"X292" -1.57648830795038 -0.581575429277986 "GRO.alpha"
"X293" -0.137491793162105 0.549965997508919 "GRO.alpha"
"X294" -1.29525413311726 0.289982560278145 "GRO.alpha"
"X295" -0.627913825762449 -0.0675916798322158 "GRO.alpha"
"X296" 1.08605564637506 0.125856969093578 "GRO.alpha"
"X297" -1.02508003124837 0.528472345372627 "GRO.alpha"
"X298" 0.06332255073432 -0.875607081590678 "GRO.alpha"
"X299" -1.53815439372984 -0.76376223559834 "GRO.alpha"
"X300" -0.978373984567431 -0.232666146136046 "GRO.alpha"
"X301" 1.19398602146608 -0.640554609307221 "GRO.alpha"
"X302" 0.268166238653222 -0.00847588440857459 "GRO.alpha"
"X303" 0.638646322025016 0.383742840733128 "GRO.alpha"
"X304" 0.946805542717469 0.75815044271369 "GRO.alpha"
