"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X74" 7.967728679 7.668684752 6.732667308 5.855556071 15.72231976 8.721189919 6.867745364 6.911506025 7.521903057 8.802469212 6.891799308 10.15889942 7.070605681 7.211810655 10.35249082 12.82859035 6.015730017 7.041197803 7.125348975 7.212986796 7.159208346 8.182787619 7.014053041 7.093344142 7.632826247 6.977501432 5.731349274 14.3856651
"X75" 8.515577908 7.613897074 6.754269007 5.961159194 15.88706056 8.354743264 6.844261858 6.965160798 7.046160652 8.442369108 6.928304621 9.797138229 7.155988433 7.161917166 10.06639626 12.79961182 5.96735281 7.052485806 7.200209041 7.200002895 7.209016705 7.201048989 7.008476518 7.070262535 7.586238633 7.069822143 5.701193547 14.6064613
"X76" 8.746423719 7.6696486 6.375761569 5.814966381 15.73133486 8.500521822 6.961364541 7.003686797 7.247925321 8.130335457 6.851357753 10.08491541 7.106521355 7.232986477 10.53918738 12.6943427 6.061971998 7.081583512 7.168025381 7.37573403 7.172155858 7.516028929 6.770719019 7.200776143 7.78596167 7.010738599 5.669997017 14.38527156
"X78" 7.993832031 7.820570108 6.67409379 7.418389372 15.79723198 9.42334225 6.682049939 6.971910309 7.084439375 8.58360377 6.93257498 9.556454401 7.052522093 7.244226714 9.744075694 13.0382183 6.003433466 7.014975796 7.235448876 7.324763447 7.1624339 7.72474651 7.066319914 7.019179774 7.604722153 6.813299192 5.698892798 14.54697727
"X79" 9.194819255 7.627448415 6.416495742 5.79762291 15.64344402 7.793776745 6.742763684 6.969485989 7.174918319 9.165318397 6.911150779 10.11349591 6.980126059 7.231273368 10.32641716 12.24131356 6.006066922 6.994398968 7.223537729 7.21917738 7.265058605 7.548157693 6.984682996 7.188928982 7.747706983 6.961809435 5.815275068 14.38325086
"X80" 9.658198502 7.724944305 6.510600696 5.769771588 15.8080463 8.407960902 7.037407623 6.998008749 7.333922137 9.355133069 6.918754662 9.734493425 7.061841817 7.083083939 10.04109169 12.08174374 6.166623905 7.079652495 7.137602879 7.20269185 7.099119166 7.527470014 7.047305212 7.053195975 7.576692526 6.985750343 5.798427306 14.4315966
"X81" 8.608089682 7.674100782 6.344523826 6.032843866 15.7203846 7.672197105 6.550292283 6.950409637 7.029734807 8.493598239 6.852797614 9.59244085 7.077221116 7.183847151 9.52535101 13.00465338 6.049862632 7.068206419 7.442133445 7.250897006 7.272266331 7.440628181 7.137639635 7.037370128 7.688506732 6.986265223 5.660813695 14.36294533
"X83" 8.339118731 7.631884588 6.423067158 5.214089168 15.84356655 8.485542857 7.22704236 7.010092088 7.059627858 8.290613818 6.86525408 10.58558671 7.1796135 7.214259852 9.956640278 12.13411796 6.287234832 7.016858147 7.011206248 7.302558341 7.127327349 7.73031162 7.075618235 7.168187691 7.623305694 7.068337816 5.755199406 14.21688543
"X84" 8.753441087 7.599753821 6.412830114 6.402798025 15.45316441 7.08799849 6.648963213 6.974844756 7.031180152 8.403606201 6.922272397 8.423334502 7.004384399 7.116036473 9.442908382 12.58788128 6.022402151 7.037285189 7.167291361 7.292597084 7.249732439 7.391830496 6.993410815 7.077465257 7.643020559 6.993320049 5.740869625 14.00514137
"X85" 8.610279605 7.818378184 6.37588522 6.023616857 15.68363408 8.574632726 7.184556138 7.027003857 7.204226018 9.959974954 6.837459351 10.11239198 7.074668795 7.21746815 9.911645425 12.62781618 6.019177694 6.939437379 7.186401496 7.245564403 7.241223884 7.680045253 7.072971612 7.120571394 7.624868585 6.979545384 5.784205252 14.47790982
"X86" 8.119389204 7.590273399 6.559984562 6.012720496 15.77163685 8.590154482 6.672522399 6.971501326 7.075638751 8.5304269 6.836183269 9.635884504 7.058879695 7.143912572 9.626777208 13.15256456 6.106776591 7.064674313 7.166571232 7.144970978 7.294558988 7.413731999 7.037916496 7.068183832 7.634913263 6.992408436 5.698879516 14.36105964
"X87" 7.692239496 7.789931035 6.767623124 6.393447479 15.50783197 9.371148284 6.50680398 7.034278264 7.068947 7.976654724 6.837724543 9.82456457 7.043495779 7.156593995 9.724904828 12.32059636 6.156818712 7.078098757 7.203152358 7.233319136 7.199161763 7.769327193 7.183364865 7.191584662 7.60525192 7.028911359 5.662546914 14.24770353
"X88" 7.444243351 7.665786674 7.008377946 6.934913202 15.66019443 9.233844303 7.328068355 7.016293935 7.061045124 7.70285323 6.905589608 9.883247434 6.992441437 7.122308549 9.964180734 13.01925458 6.21790059 7.076272824 7.226814142 7.265612295 7.189910753 7.591690662 7.053837025 7.136080988 7.674432607 7.081285645 5.752583376 14.46699401
"X89" 8.263149816 7.724461993 6.584312589 7.192533117 15.43101257 9.065647651 6.648112308 6.979157521 7.079706392 8.304612795 6.879006499 8.936574942 7.057769841 7.117512062 9.461489925 12.64515081 6.221796802 7.019816387 7.165954319 7.21419451 7.205940383 7.647362859 6.993676778 7.191605647 7.708814878 7.008424855 5.650280177 14.22570697
"X90" 9.41241032 7.602882288 7.391712189 8.608613759 15.75947676 9.601976612 7.679711181 6.984014788 7.105126305 8.969067406 6.880620011 9.51567274 7.01107295 7.204109176 9.947456696 12.60890004 6.141636727 7.087917681 7.136532641 7.134940809 7.15493084 7.63059483 7.076817788 7.107136899 7.636280019 7.050050675 5.752545156 14.53332735
"X91" 8.274515589 7.99000699 6.521102527 6.743919566 15.5879495 9.464659566 6.687236902 7.046195824 7.244237221 8.961450812 6.862431888 9.957856167 6.995847367 7.096466226 9.399071213 12.21485369 6.046118353 7.018582726 7.24997469 7.260863739 7.230359539 7.44418472 7.158107623 7.191400091 7.603886852 7.018976987 5.670592763 14.29387382
"X92" 9.275545981 7.781906186 7.109680853 8.090479268 15.67811802 10.04842802 7.560617014 7.001510784 7.281643943 8.408661211 6.939645485 8.920339654 7.159794728 7.077923957 9.601292935 12.36082932 6.577262757 7.060589089 7.159956741 7.249028031 7.191218238 7.574996936 6.901671858 7.186916418 7.614920266 6.886290277 5.72451439 14.30546202
"X93" 9.488572698 7.809055699 6.415292481 7.703487736 15.72485634 9.346924501 7.475003541 7.023924695 7.325392775 9.441482084 6.830474867 10.39227226 7.16059123 7.361237582 10.45222364 12.2413946 6.017464058 6.990870336 7.199429375 7.172826319 7.107219236 8.354617836 7.105771965 7.025275618 7.713743147 7.011435373 5.721757572 14.38142302
"X94" 9.19409329 7.757066914 6.444564674 7.114037145 15.7004963 8.693392052 7.233286052 6.958261383 7.120505694 9.450079125 6.947329252 9.90547312 6.984310722 7.191115649 9.852585504 12.55517063 6.227149507 6.993065621 7.166795781 7.258637837 7.315172992 8.267620705 6.945936679 7.102419222 7.883379107 6.999970576 5.709431993 14.37200247
"X95" 8.314254256 7.763076649 6.449018222 5.843147351 15.8187534 8.328084585 7.060212331 7.052899351 7.158678799 8.307203025 6.840744688 8.83262006 7.039240468 7.16147075 9.687497264 12.74409838 6.131093592 7.053504651 7.213242919 7.244590273 7.291100702 8.127407018 7.112059202 7.128867683 7.622254718 7.076041669 5.799481737 14.48099032
"X96" 8.997583025 7.68538504 6.566840551 5.528430562 15.48835979 8.500765425 6.495410487 6.979552621 7.051395334 8.111502909 6.916927063 8.467956659 6.985756855 7.113980437 9.868739052 12.96882166 6.068880293 6.955732856 7.22390945 7.154184046 7.15694254 7.752123186 7.040146356 7.072118753 7.646529022 6.902321637 5.743574062 14.34731835
"X97" 8.607715642 7.955915016 6.457049423 6.75020802 15.55314045 8.598713161 6.620381044 7.023729844 7.230447416 8.59007945 6.796592365 9.466203317 7.091136158 7.171574164 9.850283245 12.28734089 6.185485465 6.947885673 7.150233213 7.141498966 7.259537299 7.91319035 6.981895123 7.09938809 7.786164783 6.974082451 5.783790461 14.27732806
"X98" 9.001281291 7.833732784 6.59396402 6.520509235 15.53156426 8.762512638 7.254072893 6.930524873 7.115651495 8.060629257 6.863824649 9.783848067 7.117777339 7.093507383 10.20645478 12.12207531 6.207437739 7.014145458 7.211847495 7.264731233 7.25534901 7.686002255 7.039121894 7.145850869 7.786452342 7.022635294 5.669066606 14.30481274
"X99" 7.702699809 7.715805473 6.358371028 5.322186367 15.52389224 7.327011481 6.094946564 7.068105908 7.494715598 8.606095923 6.929541225 8.572102868 7.083760058 7.04351829 9.128927802 12.42124735 6.277803568 7.022228034 7.050398815 7.274258387 7.104422324 7.731978621 7.011704843 7.08900399 7.789118031 7.013044649 5.790118631 14.23470497
"X100" 7.844723645 7.735745435 6.745821331 6.078142588 15.6842251 7.656197208 5.727038464 6.991335652 7.106274545 8.126497512 6.80179649 9.265950755 7.04080358 7.080084309 9.940913823 12.75631648 6.076298086 7.048240922 7.152271235 7.33511972 7.248881175 7.499503812 7.075583121 7.122036528 7.651222854 7.061372118 5.782440916 14.31660715
"X101" 8.647194326 7.828421671 7.0846436 7.388254576 15.48669532 9.547121507 8.054544304 7.022145395 7.171673486 9.282882193 6.876510723 10.56042591 7.045192111 7.322578854 10.02288956 12.23631244 6.1908787 7.027950286 7.195126921 7.231852081 7.196104301 6.717593051 7.097748928 7.170356466 7.6109349 6.942982429 5.679168508 14.39896078
