"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X34" 9.824686866 7.034324478 7.180392012 9.484757434 9.824560405 8.486342347 8.75294768 7.051248364 7.362951229 8.013603304 6.869919558 10.03710391 7.021441604 7.449770597 8.907657568 13.1794997 6.989212235 7.153670533 7.122971036 7.082280128 7.279757808 6.784569304 7.239473504 6.946526655 7.647456002 7.053823069 7.356257958 7.165861781
"X35" 9.439589054 7.423570434 7.147499749 8.889387705 9.407989685 7.261882135 8.069707424 6.972758001 7.111943564 8.897577727 6.956628072 9.587253579 6.96346431 9.137388074 8.340825658 13.23056882 6.883746508 7.043232384 7.317799969 7.164950541 7.237622073 7.224131397 7.221244243 7.082822448 7.867971432 7.050092479 7.404712817 7.244766451
"X36" 10.11970273 7.237566977 6.893604622 7.965013105 8.87167707 7.487628928 7.356702195 6.888003621 7.408967758 8.674641901 6.874893233 8.554605899 7.021479248 8.17668609 9.003080917 12.95074796 6.864461101 6.995583257 7.177258017 7.158600547 7.149459463 7.741386235 7.113932801 7.037943142 8.282319702 7.097897817 7.507251298 7.138820956
"X37" 10.30084378 7.31818259 7.46062871 9.865553665 8.951301385 7.274580949 8.557609037 6.800567677 7.114714838 9.14516088 6.897410781 8.550613161 7.072100088 7.026316659 8.354887032 12.8638711 7.450328413 7.008431401 7.32504666 7.236908095 7.234383072 6.862209649 7.010114344 7.126374014 7.048342834 7.188451161 7.268687639 7.165338904
"X38" 9.878185456 7.106638077 7.196872963 8.31331442 9.499025551 7.274914324 7.379156325 7.118113633 7.325355941 8.432927325 6.899222793 9.167412419 7.078936511 6.647165702 8.463977632 12.80273834 6.964891428 7.00074661 7.318168028 7.260182488 7.349369148 6.97144269 7.124648527 7.14113904 7.167113727 7.224410121 7.203932344 7.313307899
"X39" 9.488946906 7.151037386 7.208628974 8.367875409 8.9460034 7.398564933 7.368350106 7.02092956 7.308734657 8.865648208 6.808702897 8.464150134 7.033654902 6.627369585 9.216398721 13.12687665 7.817130856 7.062622936 7.109971461 7.202770726 7.092141387 7.235975482 7.035847771 6.994991952 7.634439603 7.076723624 7.24208323 7.672534482
"X40" 10.32797572 7.069678897 7.036651776 9.515082711 8.993396227 7.354792816 8.571914154 6.806698736 6.980891981 8.459404732 6.913538718 9.276518695 7.1801175 7.195799152 9.630792661 12.85346592 6.962044673 7.05233663 7.368749235 7.38358437 7.266278841 7.049327422 7.003500327 7.123342849 7.926450531 7.177436266 7.544280548 7.504928602
"X41" 9.884677331 7.190288184 8.958883852 9.708208067 7.639137925 8.203358555 7.693314374 7.173717182 7.318089384 8.98797954 6.94782865 9.611951034 7.000158925 8.639007373 9.440372207 13.26083544 7.820443819 7.013841274 7.237426044 7.219342387 7.161619827 6.852031325 7.242885317 7.119977697 8.038936375 7.00659663 7.576785952 7.12371782
"X42" 10.07506184 7.284744841 9.262681952 11.08038713 9.60192724 7.747840372 8.756823881 7.127039475 6.958972853 8.931041643 6.829165068 11.55256324 7.003638534 7.333855833 9.236474087 13.02480816 6.789988083 6.993583593 7.292624327 7.072860457 7.073334623 7.36492089 6.992644018 7.01564835 7.514457142 7.041973293 7.506762281 7.07226364
"X43" 9.602961423 7.056379252 7.127238039 9.586113868 9.677735296 7.231607076 7.849222901 6.79054184 6.993568806 8.48421208 6.894207672 8.700845265 7.220325234 6.573423142 8.489822015 12.88951706 7.597872138 7.006871174 7.093556666 7.178503229 7.292182979 7.887645784 7.116950761 7.074660381 7.950767275 7.038172889 7.548053932 7.291339438
"X44" 9.649017111 7.050106581 7.149706999 9.068404596 9.899653024 8.432905129 7.549696344 6.979275598 7.371418335 8.027597201 6.924587281 9.310236096 6.98398585 7.957550607 8.619521446 13.34323701 6.907106997 7.036178616 7.216750698 7.613395128 7.296069888 7.409977829 7.085704974 7.08814664 7.855261902 7.067489913 7.233265589 7.754575518
"X45" 9.623409082 7.210610299 7.286711532 8.529368722 8.633489254 7.341812498 8.273151121 7.072183383 7.04609452 9.068912613 6.882515276 9.343577396 7.03036278 6.601283535 8.089027943 12.87503806 6.875498193 7.034591791 7.127209491 7.261689344 7.156156746 7.776359412 7.043077418 7.083872083 7.27923861 7.146306708 7.013567111 7.267544356
