"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X78" 9.92812179 7.131765107 12.46437932 11.22562812 9.3716487 10.66246216 9.453628122 7.026467369 7.245815312 8.777469761 6.936156404 14.67753841 7.040697954 9.02070863 8.871356343 12.99516332 7.273323973 7.050349429 7.113682875 7.197478728 7.438292881 6.470750742 7.0861677 7.014935975 8.379605257 6.915552833 5.901445679 9.897022296
"X79" 9.137520209 7.198291769 11.78390394 11.05898884 9.746490597 10.24131751 8.522752873 6.928724047 7.001523941 10.03494091 6.888524131 14.25971303 7.112257463 8.208241612 8.205985124 12.96435042 6.937071383 7.027391957 7.255923741 7.123403033 7.375331058 6.409084892 7.108876868 7.083230869 8.640578785 7.081433513 5.731857541 12.1171295
"X80" 9.361732422 7.248562323 11.48328417 10.98559734 10.68610313 10.44392535 8.714437968 6.992745674 7.031637846 10.79601489 6.937018271 14.64516335 7.035935753 7.486152922 7.88955921 13.05678166 7.420501636 7.109596873 7.233849954 7.160527655 7.215752276 6.32195736 7.10510038 7.106332788 8.94194596 7.028449748 5.999795767 13.25916898
"X81" 9.260743612 7.17558219 12.18495784 10.83552307 8.974474955 10.13123219 8.859832783 7.031808284 6.842812836 9.389140377 6.88155377 14.89295129 7.042703297 8.201638799 8.147367255 13.21907399 7.024020224 7.040499846 7.473448663 7.398730126 7.242564979 6.396837278 7.067536217 7.154565758 9.391192536 7.054689484 5.828942577 11.78843671
"X83" 8.034438547 7.286792362 9.833714009 10.08932227 11.95067205 9.641364417 6.871345222 7.006564795 7.131378156 9.375057918 6.872022758 12.06760309 7.010998413 7.305514221 6.798306333 12.66946316 6.851662295 7.074713485 7.222878743 7.251831739 7.257599538 6.808110237 7.010337475 7.070295606 8.260722852 6.962251265 5.949345507 10.87110446
"X84" 9.565917643 7.253720799 11.79895444 11.01499322 8.45827522 10.02393331 9.138766519 6.999379139 6.944999528 10.06329912 6.887237791 14.91505841 7.046651724 8.770759827 8.957647656 12.86004523 7.076901247 6.972024295 7.415754577 7.275363945 7.129606011 6.962149917 7.037475559 7.136809832 9.421764901 6.906051884 5.714462128 11.50100204
"X85" 8.376267626 7.281686344 10.85788567 10.41516833 10.9701476 9.496772774 8.033923158 7.0385659 7.025276701 11.16760741 6.85629921 12.75012633 7.051591881 7.783451825 8.372924655 13.3032455 6.643117484 7.150534952 7.369088732 7.163991409 7.141090146 6.469034382 7.045407685 7.08349665 8.365751844 7.162966413 5.71612754 10.50342313
"X86" 9.24096621 7.260028807 12.49082307 10.3999323 12.5415799 10.04624555 8.578960455 7.046231227 6.92714288 9.413551278 6.862133936 15.1045082 6.943707382 9.148849971 8.29054926 13.55022266 6.4343943 6.998591034 7.443565355 7.33031858 7.232488609 6.294273096 7.035911412 7.152348199 10.88905537 7.009497849 5.638556397 12.16539294
"X87" 8.459921182 7.210182281 12.2102396 11.4663201 11.17350065 10.82294751 8.817917798 7.045149997 6.939630229 9.225286605 6.845737198 14.70330502 7.100098035 10.51303052 8.647227134 12.80601151 6.962477533 7.058893736 7.197970822 7.317374857 7.254215639 6.703391422 7.080370386 7.042844985 8.47297915 6.963341279 5.663960184 11.3537636
"X88" 9.382298356 7.234545755 11.97675499 11.12634048 9.604899172 10.4425578 9.504339286 6.991035961 7.011160728 9.943120982 6.95653736 15.1280227 7.021102732 10.09593985 10.48723605 12.66509513 7.053826934 7.056800748 7.314995187 7.184701035 7.198241251 6.918688524 7.020107605 7.049726109 9.369130013 6.952513149 5.751953632 10.8402398
